92,98
82,79
14,90
16,20
94,35
92,78
92,42
20,98
29,33
75,82
17,3
64,52
90,12
3,35
43,68
4,40
43,70
18,23
47,69
81,88
10,13
77,40
83,31
36,69
81,99
38,15
33,1
41,56
7,91
20,80
1,25
48,23
34,79
21,51
32,54
27,49
41,39
52,67
21,33
43,87
40,68
8,51
62,53
97,0
50,14
49,70
6,63
91,96
65,52
56,58
71,55
27,65
72,73
71,42
60,76
9,73
22,50
3,16
21,76
25,79
49,70
86,61
2,24
3,75
98,18
18,66
6,99
76,98
98,84
59,62
5,69
56,6
25,99
39,61
43,52
20,59
73,41
92,7
18,9
21,63
39,60
16,50
42,35
62,12
71,47
97,93
37,59
22,88
90,11
66,71
61,9
67,34
73,95
96,62
99,42
63,34
17,76
62,96
26,27
98,63
